은행,상품명,기본금리( %),"최고금리(우대금리포함,  %)",이자지급방식,은행 최종제공일,가입방법,우대조건,가입 제한조건,가입대상,기타 유의사항,최고한도,
KDB산업은행,KDB Hi 입출금통장,1.80,1.80,월지급,2025-01-20,"영업점,영업점",해당없음,제한없음,만 14세 이상 개인,해당없음,,
NH농협은행,NH주거래우대통장,0.10,2.00,분기지급,2025-02-12,"영업점,인터넷뱅킹,스마트뱅킹","전월말 기준 아래 조건 내용 중 2개 이상 충족 시 제공
1) 해당 월 50만원 이상의 급여이체 실적
2) 카드 결제실적 월 20만원 이상
3) 납부자(타행)자동이체 또는 출금이체(자동납부)로 3건 이상 출금",제한없음,제한없음,"1) 최고금리는 일별 잔액 100만원 이하 금액에 적용하며, 기본금리 포함 적용기준
 ※ 일별 잔액 100만원 초과금액에 대해서는 우대이자율을 적용하지 않음
2) 우대 이자 적용 기준 : 결산일이 속한 달(3월, 6월, 9월, 12월)의 전월부터 과거 3개월 동안 우대조건 중 3개 이상 충족한 월이 2개월 이상인 경우",,
NH농협은행,NH1934우대통장,0.10,3.00,분기지급,2025-02-12,"영업점,인터넷뱅킹,스마트뱅킹","기본조건 : (필수)농협은행 인터넷/스마트뱅킹, 올원뱅크로 월 2건 이상 이체
추가조건 (1개 이상) : 
1) 급여 입금
2) 납부자·타행 자동이체/자동납부 월 1건 이상
3) 「NH1934 체크카드」 월 결제실적 5만원 이상",기타제한,만19세~만34세 개인,"1) 최고금리는 일별 잔액 100만원 이하 금액에 적용하며, 기본금리 포함 적용기준
 ※ 일별 잔액 100만원 초과금액에 대해서는 우대이자율을 적용하지 않음
2) 우대 이자 적용 기준 : 이자결산일이 속한 달(3월, 6월, 9월, 12월)의 전월부터 과거 3개월 동안 우대조건을 충족한 월이 2개월 이상인 경우",,
신한은행,신한 주거래 미래설계통장,0.10,0.75,분기지급,2025-01-20,"영업점,영업점","① 연금수급 우대이자율 : 연 0.50%
② 교차거래 우대이자율 : 연 0.25%
※ 우대금리 항목별 자세한 적용 조건은 상품설명서 참조
※ 결산기간 평균잔액 50만원 이상 300만원 이하 구간에 적용
※ 우대이자율 적용 시 해당 ""우대이자율 적용구간""에는 기본이자율 적용하지 않음",제한없음,실명의 개인,-,,
우리은행,우리 WON 파킹 통장,0.10,1.00,월지급,2025-01-20,스마트뱅킹,"[최대 연 0.9%p] 결산일 전월 말 기준 우리 오픈뱅킹 서비스 이용계좌 등록 시 매일의 최종 예금 잔액에 대해 최초 예금일(또는 지난 결산일)로부터 결산일 전일까지
1. 금액구간별 우대
-1백만원 초과 5백만원 이하 : 연 0.60%p
- 5백만원 초과 1천만원 이하 : 연 0.80%p
2. 상품 서비스 마케팅 동의 - 연 0.10%p",제한없음,실명의 개인,"1. 1인 1계좌
2. 이 예금은 입금 및 출금, 기타 거래와 관련된 제한사항이 있는 상품으로 상세한 내용은 홈페이지 및 상품설명서를 확인해주시기 바랍니다.","10,000,000원",
우리은행,WON통장,0.10,0.10,분기지급,2025-01-20,"영업점,인터넷뱅킹,스마트뱅킹",해당사항 없음,제한없음,실명의 개인,"1. 1인 1계좌
2. 이 예금은 원칙적으로 통장을 발행하지 않으며 모든 거래는 인터넷뱅킹 등 전자금융을 이용하여야 합니다.
3. 이 예금에 대해 영업점 창구를 통한 출금 및 자금이체 거래를 월1회 초과하여 요청한 경우 창구거래수수료가 추가적으로 발생합니다.",,
우리은행,우리 SUPER주거래 통장,0.10,0.10,월지급,2025-01-20,"영업점,인터넷뱅킹,스마트뱅킹",해당사항 없음,제한없음,실명의 개인,1인 1계좌,,
SC제일은행,내월급통장,0.60,3.10,월지급,2025-01-20,"영업점,인터넷뱅킹,스마트뱅킹,기타","1. SC제일은행 첫 거래 신규고객 
2. 급여이체 고객
3. 상품보유 고객 우대  (상품 보유 개수)
4. 거래 고객 우대 (자동이체/신용카드/체크카드/인터넷뱅킹/모바일뱅킹)
5. 계좌 평균 잔액 우대",제한없음,제한없음,"기타유의사항
없음",,
SC제일은행,제일EZ통장,1.70,2.20,월지급,2025-01-20,"영업점,인터넷뱅킹,스마트뱅킹,기타",SC제일은행 첫 거래 고객에 대하여 우대 이율을 제공함 (보너스이율0.5%),제한없음,제한없음,통장실물발급불가,,
SC제일은행,SC제일Hi통장,0.10,3.40,월지급,2025-01-20,"영업점,인터넷뱅킹,스마트뱅킹,기타","1. SC제일은행 첫 거래 고객 (1억원미만 1.8% / 1억원 이상 3억원 이하 2.3% / 3억원 초과 2.8%)
2. SC제일은행의 제휴 채널을 통해 신규한 계좌 0.1%
3. 마케팅 동의 우대 이율 0.2%
4. 고객 등급 (PB) 우대 이율  0.2%",제한없음,제한없음,기타유의사항없음,,
